,Economics,House,Society,Fashion,Education,Technology,Politics,PE,Game,Entertainment
基金,0.007904508793987249,0.00018950894265346035,1.2307089713065555e-05,6.286147053751203e-06,7.108118787036208e-05,1.8719264812738803e-05,7.526997096500908e-05,8.106237100950213e-07,3.9995659137794915e-06,1.9701866108219463e-05
银行,0.00349507580828918,0.0006047528547094821,0.0002533655208320235,4.372971863479098e-06,0.0001864300194322308,1.9773871281062115e-05,9.502166547355755e-05,3.7829106471100995e-06,6.132667734461886e-06,7.880746443287784e-06
市场,0.0035884351386052627,0.0031538822471768343,0.00014233416798588858,0.0001590668515340522,0.0004022031626828317,0.00020301174515223772,0.0003461884834809105,4.755659099224125e-05,0.0002218425893509691,0.0005886917593135975
投资者,0.0013303704570041812,0.00026787544949845435,9.096544570526714e-06,1.366553707337218e-06,6.146878524020636e-05,7.645896895344018e-06,1.6815631811331813e-05,1.0808316134600284e-06,7.465856372388384e-06,1.1033045020602898e-05
债券,0.0011862277547029763,6.382680903413033e-05,1.0701817141796134e-06,2.7331074146744365e-07,1.1889024305718924e-05,1.318258085404141e-06,3.3097434041351504e-05,8.106237100950213e-07,1.0665509103411977e-06,7.880746443287784e-07
收益,0.0011318536392441588,0.00019714844489306669,5.0833631423531634e-06,8.199322244023309e-07,3.0354955674175976e-05,3.691122639131595e-06,2.055243888051666e-05,1.8914553235550497e-06,2.0531105024068056e-05,1.8125716819561906e-05
股票,0.0010379813455746907,0.00013110371585388936,1.4982543998514588e-05,8.199322244023309e-07,2.4789880467243716e-05,1.318258085404141e-06,1.0676591626242421e-05,8.106237100950213e-07,8.79904501031488e-06,6.041905606520635e-06
风险,0.0011667351472743437,0.0004061257964797174,2.1671179712137173e-05,5.192904087881429e-06,0.00013002039347105376,8.858694333915828e-05,9.048411403240453e-05,1.7023097911995446e-05,1.4398437289606167e-05,1.760033372334272e-05
净值,0.0006983996056337739,1.1582471137467668e-05,2.6754542854490336e-07,2.7331074146744365e-07,7.588738918543994e-06,2.636516170808282e-07,2.1353183252484843e-06,2.702079033650071e-07,2.666377275852994e-07,2.626915481095928e-07
资产,0.000952829428912769,0.000349692054129077,1.60527257126942e-05,1.0932429658697746e-06,0.00010649530282356739,1.8455613195657974e-06,6.325880538548635e-05,5.404158067300142e-07,8.265769555144282e-06,3.4149901254247065e-06
利率,0.0007945802343934747,0.00012913223140495868,1.8728179998143236e-06,2.7331074146744365e-07,6.323949098786662e-06,1.0546064683233129e-06,2.1086268461828784e-05,2.702079033650071e-07,2.666377275852994e-07,2.626915481095928e-07
业务,0.0009266682978901304,0.00028414019620213234,6.31407211365972e-05,9.292565209893083e-06,0.00012015503287694657,3.7438529625477606e-05,0.00012411537765506816,5.944573874030157e-06,4.932797960328039e-05,1.1295736568712491e-05
客户,0.0010364424555145356,0.0006370359125607217,5.2171358566256154e-05,2.0498305610058272e-05,0.00015961647525337535,2.0301174515223772e-05,1.8150205764612116e-05,2.9722869370150783e-06,9.598958193070778e-06,5.516522510301449e-06
经理,0.0007989404228972478,0.00014835420478203268,6.528108456495642e-05,3.00641815614188e-06,7.791105289705167e-05,1.8719264812738803e-05,9.87584725427424e-06,1.8103929525455477e-05,3.119661412748003e-05,4.203064769753485e-05
仓位,0.0005706717306408912,9.610986688537001e-06,2.6754542854490336e-07,2.7331074146744365e-07,2.529579639514665e-07,2.636516170808282e-07,2.6691479065606054e-07,2.702079033650071e-07,5.332754551705988e-07,2.626915481095928e-07
货币,0.0006437690084982639,0.000114592533594095,2.942999713993937e-06,8.199322244023309e-07,1.6695225620796787e-05,5.536683958697392e-06,2.936062697216666e-05,2.702079033650071e-07,1.8931278658556257e-05,5.253830962191856e-07
人士,0.0009476997953789183,0.0006220033436376254,7.303990199275862e-05,5.466214829348873e-05,0.00016568746638821055,4.9302852394114876e-05,0.0002749222343757424,6.025636245039659e-05,4.61283268722568e-05,0.00010507661924383712
产品,0.0020082515285025524,0.0008405916819128131,4.0131814281735504e-05,0.000184211439749057,0.00010295389132824685,0.00040602349030447544,0.00023515193056798932,9.997692424505263e-06,0.00020397786160275406,4.1767956149425255e-05
资金,0.00110466658151475,0.0011954588827203332,7.732062884947707e-05,4.0996611220116544e-06,0.0002936841961476526,6.512194941896456e-05,0.0003579327342697772,3.5127027437450923e-06,3.4129629130918326e-05,5.437715045868571e-05
