,Economics,House,Society,Fashion,Education,Technology,Politics,PE,Game,Entertainment
Economics,4553.0,221.0,0.0,0.0,21.0,201.0,1.0,0.0,1.0,2.0
House,20.0,4627.0,16.0,3.0,31.0,267.0,15.0,1.0,7.0,13.0
Society,39.0,229.0,3927.0,3.0,442.0,232.0,39.0,3.0,7.0,79.0
Fashion,7.0,42.0,160.0,2346.0,361.0,1826.0,5.0,8.0,4.0,241.0
Education,6.0,39.0,35.0,2.0,4587.0,290.0,17.0,1.0,5.0,18.0
Technology,1.0,45.0,1.0,8.0,12.0,4880.0,0.0,0.0,48.0,5.0
Politics,47.0,779.0,151.0,1.0,307.0,438.0,3241.0,0.0,4.0,32.0
PE,1.0,52.0,43.0,1.0,125.0,112.0,11.0,4543.0,20.0,92.0
Game,1.0,58.0,8.0,11.0,32.0,71.0,3.0,0.0,4769.0,47.0
Entertainment,9.0,52.0,193.0,140.0,139.0,274.0,12.0,5.0,29.0,4147.0
